,Date,Team 1,Team 2,Predicted Winner,Actual Winner,Correct Prediction
118,04-12-2017,MIL,BOS,MIL,MIL,1
119,02-03-2022,CHI,TOR,CHI,TOR,0
120,02-07-2022,CHO,TOR,TOR,TOR,1
121,03-03-2016,PHO,MIA,PHO,PHO,1
122,04-12-2016,IND,NYK,IND,NYK,0
123,04-12-2017,MIN,HOU,HOU,HOU,1
124,03-25-2018,SAC,BOS,SAC,SAC,1
125,01-29-2018,PHI,MIL,MIL,PHI,0
126,03-08-2018,PHI,MIA,PHI,PHI,1
127,11-28-2018,POR,ORL,POR,POR,1
128,02-28-2018,OKC,DAL,OKC,OKC,1
129,12-22-2018,SAS,HOU,SAS,HOU,0
130,03-28-2016,OKC,TOR,OKC,OKC,1
131,12-05-2018,SAS,LAL,SAS,LAL,0
132,03-24-2017,BRK,WAS,WAS,WAS,1
133,01-24-2021,LAC,OKC,LAC,LAC,1
134,02-01-2017,BOS,TOR,BOS,BOS,1
135,02-05-2016,BRK,SAC,BRK,BRK,1
136,12-27-2017,SAC,CLE,SAC,CLE,0
137,12-19-2018,GSW,UTA,GSW,UTA,0
138,12-02-2017,SAC,MIL,MIL,MIL,1
139,03-15-2017,MIL,LAC,LAC,MIL,0
140,01-05-2016,LAL,GSW,LAL,LAL,1
141,12-30-2015,TOR,WAS,TOR,TOR,1
142,02-25-2017,SAC,CHO,SAC,CHO,0
143,11-24-2021,PHO,CLE,CLE,PHO,0
144,03-03-2019,POR,CHO,POR,POR,1
145,02-23-2018,CHO,WAS,CHO,CHO,1
146,02-28-2019,CLE,NYK,NYK,CLE,0
147,01-13-2021,DAL,CHO,CHO,CHO,1
148,03-04-2016,ORL,PHO,PHO,ORL,0
149,02-23-2016,ORL,PHI,ORL,ORL,1
150,03-17-2018,MIN,SAS,SAS,SAS,1
151,03-15-2021,LAC,DAL,LAC,DAL,0
152,03-05-2018,PHO,MIA,MIA,MIA,1
153,01-18-2022,GSW,DET,DET,DET,1
154,04-05-2016,ATL,PHO,PHO,PHO,1
155,03-29-2022,BRK,DET,BRK,BRK,1
156,01-02-2017,ORL,NYK,NYK,ORL,0
157,01-23-2022,DAL,MEM,DAL,MEM,0
158,12-16-2016,DAL,UTA,UTA,UTA,1
159,01-01-2017,DET,MIA,DET,MIA,0
160,12-21-2021,MIN,DAL,MIN,DAL,0
161,01-29-2016,CLE,DET,CLE,CLE,1
162,03-17-2021,BRK,IND,BRK,BRK,1
163,03-06-2019,PHI,CHI,PHI,CHI,0
164,01-27-2019,MIN,UTA,UTA,UTA,1
165,03-13-2017,SAC,ORL,SAC,SAC,1
166,01-16-2017,OKC,LAC,LAC,OKC,0
167,04-11-2021,BOS,DEN,DEN,DEN,1
168,02-07-2017,DAL,POR,POR,POR,1
169,02-24-2016,TOR,MIN,TOR,TOR,1
170,04-01-2019,DAL,PHI,PHI,DAL,0
171,01-03-2017,LAL,MEM,LAL,LAL,1
172,03-16-2022,PHO,HOU,PHO,PHO,1
173,04-08-2016,WAS,DET,DET,WAS,0
174,02-29-2016,CLE,IND,CLE,IND,0
175,12-30-2017,MEM,GSW,GSW,GSW,1
